,User_name,Review,Rating1,Rating,Title
1,Ankit,"Update after 1 month of use.There is crackling sound in the background that comes during calls games music anything randomly. During calls, once the crackling starts, it continues. It is known issue with the buds, and you need to reset the device to get it back, and then again the crackling starts in 3-10 hours.Orignal review was for 3 stars as below:Pros:+ Premium packaging+ Quick pairing with OP phone+ Stylish+ (Hopefully) good battery+ USB C interface - no need for me to carry another charging cable+ Enviromental noise cancellation+ Quality of micCons:- Very very poor sound quality. A 399/- pair of wired earphones have better sound quality.- The red cable provided is a sham. It is not warp or dash charging enabled. Also, it is too short! The cost cutting in this department at 2k is not justified- Clumsy, the rubber and buttons are plain clumsy. They never sit properly, even curl some neck clumsily. On dropping the bus down, they hardly ever get magnetically closed.- No carrying pouch. The money that's wasted in the packaging which I'll never use again might have better utilised in provinding a proper pouch for the clumsy earphone- HD quality codecs like APTx etc are simply not available for this piece...All in all this product is a sham, stay away. May be at 999/- it would be a good buy!Update after 9-10 months of use:The right bud was less loud than left, but I ignored because it was minor difference. 9 months later, now right bud sounds is very less than the left one. Contacting service centre to claim warranty. Will update the experience.",1.0 out of 5 stars,1,Stay Away
2,Arun Veer,"It's mentioned in the features that bass edition have quick switch option, but their is no quick Switch Button. Don't know why they have mentioned it in the features. I guess they have just copy paste features from their older edition to bass edition.",1.0 out of 5 stars,1,No Quick Switch Button
3,satya,"So coming from a quality wired earphones to this neck band (RIP headphone jack) this wireless band cant bridge that gap.PROS-Awesome battery life,Great quick switch functionality (not available in BASE EDITION, great job one plus marketing team),Quality phone calls (get it immediately of u spend long time in meetings or calls) WFH Fever,Type C and fast charge (minor but still its there)CONS--Music will become less enjoyable so buyer beware,BASE EDITION-Music does feel good but one plus cleverly REMOVED the QUICK SWITCH and even positioned the MICROPHONE on the neck band directly while in NORMAL EDITION it used to be on the control island thingy with volume.Any physical changes must be highlighted. Guess one plus no longer enthusiast brand.Even the band to ear bud wire length is different.. had difficulty in position with my shirt collar. BASE EDITION legth is not enought. Stupid company. Had to return Bass Edition due to removal of quick switch and reduced ear cord length.",1.0 out of 5 stars,1,Great for calls and laptop to phone switch is very easy if u need it.
4,Prajwal G,After viewing too many reviews on youtube I think that op bullets wireless Z will have very little bass that's why I ordered the bass edition but after trying the bass edition I found very heavy bass in this version. but as I Iove flat sound signature I feel the bass is over boosted and I am getting headaches after using it for a long time. So I decided to replace the bass edition with a regular one. People who love heavy bass can definitely go with bass edition. I love rich vocals and instruments with proper balance bass so this bass version definitely not for me. Hope the people who are confused between regular vs bass edition will get an idea from my review.,5.0 out of 5 stars,5,Not for me (too much bass)
5,Uddipan,"quick feature doesn't work and even pairing with a new device distorts connectivity in a strange manner. May be i use iphone that’s why there’s a problem in Bluetooth codec. you need to reset the device everytime to solve this issue. very pathetic engineering from oneplus. work around is - never use quick pair feature. after using it with one device you just turn off the headphn, turn off bluetooth on that device, and then connect another deviceUpdate: i have exchanged my headphones and this one has the same issue. The problem is persisting even using it with one device, the cracking sound comes up after a while. So i think I should go for the normal edition",1.0 out of 5 stars,1,Do not buy if you are an iPhone user
6,Vishal,"**Important** read till the end.I am not gonna write the pros and cons of the product, everybody else covered most of them. But the most important aspect that I noticed is not covered on any website and YouTube.These earphones support v5 Bluetooth which is decent but the problem is that if you connect them with phone Bluetooth version lower than v5 than you will gonna face some issues.I have a 2-year-old Honor device which has v4.1 Bluetooth, when I listen on this device the earphones produce a low cracking sound constantly (which can't be ignored). Firstly I thought that I got a defective product, but when I tested them on other latest smartphones the problem is not there. I contacted OnePlus regarding this issue and they cleared my doubt.So, if you facing the same issue plz check the earphones on other devices too. Don't just waste your time to replace the product.OnePlus also replaces the product in the warranty period, so don't rush to get it replaced by Amazon.",5.0 out of 5 stars,5,Best purchase but read the review
7,Sudarshan chakraborty,"                    The media could not be loaded.                 I have purchased oneplus z ear phone on June 2020.currently the product is about to dead and while I try to connect one plus service center, they refused to provide any service.One plus is providing zero after sell servicePlease don't buy.Amazon should look after this",1.0 out of 5 stars,1,"Please don't buy, one plus is fraud"
8,SUDHEER YARLAPATI,"if you are looking for best wireless earphones @2K, just go for it.(OnePlus Bullets Wireless Z Bass Edition (Reverb Red)) 👍Even though it is a Bass Edition, Bass is not too high but pretty much enough. 👍Sound quality  & volume is impressive. 👍Didn't found much ""Noise cancellation"", still not bad.(If your mobile bluetooth version is 4, then you might get voice disturbance & voice break since this device is having bluetooth version 5)✌Fast Connectivity.👍No Quick switch in this version(Bass Edition) 👎Comfortable 👍Battery 💪 As they mentioned, we can charge for 10 mins & can be used for 10hrs. If you charge for 1hr, you can use upto 17hrs. 💪👍much recommended product @2K 😍And, please don't compare this product with realme buds wireless. I found ""one plus Bwz bass edition > Realme Buds wireless""",5.0 out of 5 stars,5,Go for it if :
9,Adil Khan,"Connectivity is not good enough. Battery backup is just okay. Misleading customers saying that it has quick switch features, which can only be used by oneplus phones and not by other brand phones and laptops. My 500rs boat earphones have more bass than this bass edition.",1.0 out of 5 stars,1,Not Worth 1999.
10,Pankaj Vishal Singh,Sound quality awesome but if you want this for taking on call please don't buy as the sound quality on call is worst. You cannot hear what the other person is talking.  Otherwise for only music this is awesome . Also as soon as the magnetic buds stick together  it get disconnect and off so  only the battery is 20 hrs back up and when you again plug to ear the Bluetooth connect to you phone it's very fast .,1.0 out of 5 stars,1,For music awesome but for phone call worst
